date,skipper_given_names,skipper_family_name,skipper_residence,route,direction
1780/01/01,Michel,Boyessen,Kiøbenhavn,Kiøbenhavn – St. Thomas,west
1780/01/01,Sikke,Hilles,Amsterdam,Riga – Cartagena,west
1780/01/01,Hans,Jensen,Riga,Riga – London,west
1780/01/02,Daniel,Berg,Lubeck,Liebau – Roscoff,west
1780/01/05,Peter,Jorgensen,Kiøbenhavn,Kiøbenhavn – St. Croix,west
1780/01/05,Rasmus,Olsen Brandt,Kiøbenhavn,Kiøbenhavn – St. Croix,west
1780/01/05,Frode,Petersen,Kiøbenhavn,Kiøbenhavn – St. Eustatius,west
1780/01/14,Harm Martin,Hedden,Konigsberg,London – Konigsberg,east
1780/01/17,Georg,Popin,Kønigsberg,Memel – St. Paul de Leon,west
1780/01/18,Evert,Thomas,Groningen,Memel – St. Malo,west
1780/01/21,Andreas,Nielsen Bølle,Kiøbenhavn,Kiøbenhavn – St. Croix,west
1780/01/22,Trulls,Torngren,Carlshavn,Gottenborg – Carlshavn,east
1780/01/22,Anders,Akassøn,Landscrone,Gottenborg – Calmar,east
1780/01/22,Mouritz,With,Kiøbenhavn,Kiøbenhavn – Canton i China,west
1780/01/22,Philip Christian,Fuglede,Kiøbenhavn,Kiøbenhavn – Tranquebar,west
1780/01/26,Neil,Schanon,London,Memel – London,west
1780/01/26,Andrew,Jonson,Memel,Memel – Dublin,west
1780/01/26,Hans Christian,Schrøder,Kiøbenhavn,Kiøbenhavn – St. Croix,west
1780/02/08,Jens,Møller,Kiøbenhavn,Kiøbenhavn – St. Croix,west
1780/02/27,Johan Benjamin,Jurians,Dantzig,London – Dantzig,east
1780/03/05,Hans,Jespersen Møller,Kiøbenhavn,Kiøbenhavn – Grønland,west
1780/03/05,Albert,Jansen Kamp,Kiøbenhavn,Kiøbenhavn – Grønland,west
1780/03/05,Martinus,Nickels,Kiøbenhavn,Kiøbenhavn – Grønland,west
1780/03/05,Jan Baltzer,Groot,Kiøbenhavn,Kiøbenhavn – Grønland,west
1780/03/05,Aucke,Johannes,Kiøbenhavn,Kiøbenhavn – Grønland,west
1780/03/05,Peter,Tonnes,Kiøbenhavn,Kiøbenhavn – Grønland,west
1780/03/05,Mads,Kroyer,Kiøbenhavn,Kiøbenhavn – St. Croix,west
1780/03/05,Peter,Petersen Groth,Kiøbenhavn,Kiøbenhavn – St. Eustatius,west
1780/03/06,Broer,Broersen,Kiøbenhavn,Kiøbenhavn – Grønland,west
1780/03/07,Hinrich,Brodersen,Kiøbenhavn,Kiøbenhavn – Grønland,west
1780/03/07,Kych,Harmens Joncker,Kiøbenhavn,Kiøbenhavn – Amsterdam,west
1780/03/08,Gabriel,Witteveen,de Lemmer,Ostende – Østersøen,east
1780/03/08,Jacob Christian,Kramer,Kiøbenhavn,Kiøbenhavn – Ostende,west
1780/03/08,Jorgen,Lorentzen,Kiøbenhavn,Kiøbenhavn – St. Croix,west
1780/03/09,Peter,Ketnes,Memel,Memel – Dundalck,west
1780/03/10,Jacob,Seegelcke,Kønigsberg,Ostende – Kønigsberg,east
1780/03/10,Martin,Kofahl,Lubeck,Amsterdam – Dantzig,east
1780/03/10,Peter,Carsten Pittersen,Stavanger,Stavanger – Kiøbenhavn,east
1780/03/10,Thyge,Bøyesen,Kiøbenhavn,Kiøbenhavn – St. Croix,west
1780/03/10,Peter,Hillebrand,Kiøbenhavn,Dantzig – Cadiz,west
1780/03/11,Daniel,St. Claire,Irwine,Irwine – Kiøbenhavn,east
1780/03/11,Thomas,Steenersen,Nedenæslehn,Arendahl – Kiøbenhavn,east
1780/03/11,Peter,Smith,Kiøbenhavn,Kiøbenhavn – St. Croix,west
